"id","name","type","description","img","iconx","icony"
"380","ITA Software","146",,"0","16","16"
"381","DoubleClick","135",,"0","17","16"
"382","reCAPTCHA","139",,"0","18","16"
"383","Blogger","147",,"0","19","16"
"384","Waymo","59",,"0","0","18"
"385","Marc Benioff","85",,"0","2","18"
"386","Salesforce.com","56",,"0","1","18"
"387","Quip","148",,"0","3","18"
"388","Demandware","56",,"0","4","18"
"389","Heroku","56",,"0","5","18"
"390","MuleSoft","149",,"0","6","18"
"391","Tableau Software","138",,"0","7","18"
"392","Time","89",,"0","8","18"
"393","Ferrero SpA","150",,"0","9","18"
"394","Nutella","31",,"0","10","18"
"395","Tic Tac","116",,"0","11","18"
"396","Thorntons","151",,"0","12","18"
"397","Kinder Chocolate","151",,"0","13","18"
"398","Keebler Company","152",,"0","14","18"
"399","Famous Amos","152",,"0","15","18"
"400","Kelsen Group","152",,"0","16","18"
"401","Royal Dansk","152",,"0","17","18"
"402","Kjeldsens","152",,"0","18","18"
"403","Ferrara Candy Company","116",,"0","19","18"
"404","Meredith Corporation","73",,"0","0","19"
"405","Entertainment Weekly","89",,"0","1","19"
"406","People","89",,"0","2","19"
"407","Allrecipes.com","88",,"0","3","19"
"408","myspace","110",,"0","4","19"
"409","Uber","153",,"0","5","19"
"410","Careem","155",,"0","6","19"
"411","Uber Eats","154",,"0","7","19"
"412","Chick-fil-A","22",,"0",NULL,NULL
"413","Walmart","125",,"0","8","19"
"414","Massmart","125",,"0","9","19"
"415","Líder","125",,"0","10","19"
"416","JD.com","45",,"0","11","19"
"417","JD Gaming","156",,"0","26","0"
"418","Flipkart","45",,"0","12","19"
"419","Asda Stores","37",,"0","13","19"
"420","Moosejaw.com","45",,"0","14","19"
"421","Hayneedle","45",,"0","16","19"
"422","Shoes.com","43",,"0","17","19"
"423","Amigo Supermarkets","37",,"0","18","19"
"424","Bare Necessities","44",,"0","19","19"
"425","Bodega Aurrerá","125",,"0","20","0"
"426","Bonobos","44",,"0","21","0"
"427","Seiyu Group","37",,"0","22","0"
"428","Bompreço","37",,"0","23","0"
"429","Sam's Club","125",,"0","24","0"
"430","Child of Mine","40",,"0","25","0"
"431","Target Corporation","125",,"0","15","19"
"432","Shipt","157",,"0","27","0"
"433","Just One You","40",,"0","28","0"
"434","Precious Firsts","40",,"0","29","0"
"435","Genuine Kids","40",,"0","30","0"
"436","Apple","34",,"0","31","0"
"437","Beats Electronics","158",,"0","32","0"
"438","Claris International","139",,"0","33","0"
"439","Beddit Oy","34",,"0","34","0"
"440","Samsung Electronics","34",,"0","35","0"
"441","SmartThings","159",,"0","36","0"
"442","Harman International Industries","126",,"0","37","0"
"443","Viv","141",,"0","38","0"
"444","Microsoft Corporation","34",,"0","39","0"
"445","Microsoft Azure","56",,"0","20","1"
"446","Bing","160",,"0","21","1"
"447","LinkedIn Corporation","110",,"0","22","1"
"448","GitHub","149",,"0","23","1"
"449","Atom","149",,"0","24","2"
"450","Electron","149",,"0","25","2"
"451","npm","149",,"0","24","1"
"452","msn","84",,"0","25","1"
"453","Skype Technologies","79",,"0","26","1"
"454","GroupMe","161",,"0","27","1"
